gender,age_range,district,city,level_of_education,level_of_employment,usage_status,usage_rank,purpose,apps,ui_ux,security,open_status
Prefer not to disclose,18 - 25,Gampaha,Kandana,Bachelor’s Degree or equivalent,Science and technology,No,,,,,,
Male,26 - 35,Colombo,Maharagama,Bachelor’s Degree or equivalent,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Top up mobile credits;Communicate with bank,SOLO – Hatton National Bank,Satisfied,Very Satisfied,Satisfied
Male,26 - 35,Colombo,Kesbewa,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,Combank Digital – Commercial Bank;Flash - Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied
Male,18 - 25,Anuradhapura,,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied
Male,26 - 35,Galle,Imaduwa,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Frimi - Nations Trust Bank,Neutral,Satisfied,Satisfied
Male,26 - 35,Kandy,Peradeniya,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Satisfied,Satisfied
Male,26 - 35,Kandy,Peradeniya,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Satisfied,Satisfied
Male,18 - 25,Colombo,malabe,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Top up mobile credits;Communicate with bank,Combank Digital – Commercial Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Satisfied,Very Satisfied,Very Satisfied
Male,18 - 25,Colombo,Homagama,Bachelor’s Degree or equivalent,Software Engineering,Yes,1 - 5 times per day,To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank,Satisfied,Very Satisfied,Neutral
Female,26 - 35,Colombo,Boralesgamuwa,Bachelor’s Degree or equivalent,Marketing,No,,,,,,
